"","lsam","linc","educ","cacc","sacc","hous","life","occ"
"1",3.91202300542815,10.8789901440421,12,3,1,3,1,3
"2",3.91202300542815,10.8789901440421,12,3,1,3,1,3
"3",3.91202300542815,10.8789901440421,12,3,1,3,1,3
"4",3.91202300542815,10.8789901440421,12,3,1,3,1,3
"5",3.91202300542815,10.8789901440421,12,3,1,3,1,3
"6",12.6117044064177,14.5186328215463,17,2,2,4,1,6
"7",12.6117044064177,14.5136701553478,17,2,2,4,1,6
"8",12.6117044064177,14.5136701553478,17,2,2,4,1,6
"9",12.6117044064177,14.5186328215463,17,2,2,4,1,6
"10",12.6117044064177,14.5186328215463,17,2,2,4,1,6
"11",7.84384863815247,11.3969532887178,10,4,2,3,1,6
"12",7.84384863815247,11.3969532887178,10,4,2,3,1,6
"13",7.84384863815247,11.3969532887178,10,4,2,3,1,6
"14",7.84384863815247,11.3969532887178,10,4,2,3,1,6
"15",7.84384863815247,11.3969532887178,10,4,2,3,1,6
"16",10.3106179399634,11.9769738971773,15,5,4,3,1,5
"17",10.3106179399634,11.9894701547593,15,5,4,3,1,5
"18",10.3106179399634,12.0018121812175,15,5,4,3,1,5
"19",10.3106179399634,11.9956602085697,15,5,4,3,1,5
"20",10.3106179399634,12.0018121812175,15,5,4,3,1,5
"21",6.95654544315157,10.2417439109508,10,1,2,4,1,3
"22",6.95654544315157,10.2417439109508,10,1,2,4,1,3
"23",6.95654544315157,10.2417439109508,10,1,2,4,1,3
"24",6.95654544315157,10.2417439109508,10,1,2,4,1,3
"25",6.95654544315157,10.2417439109508,10,1,2,4,1,3
"26",7.84384863815247,10.8789901440421,16,3,2,3,1,6
"27",7.84384863815247,10.8789901440421,16,3,2,3,1,6
"28",7.84384863815247,10.8789901440421,16,3,2,3,1,6
"29",7.84384863815247,10.8789901440421,16,3,2,3,1,6
"30",7.84384863815247,10.8789901440421,16,3,2,3,1,6
"31",14.0779132832306,13.4531767758167,17,4,2,3,2,7
"32",14.0779132832306,13.5658305076455,17,4,2,3,2,7
